learner_0,learner_1,learner_2,learner_3,positive,learner_0-positive,learner_1-positive,learner_2-positive,learner_3-positive,h1,h2,h1-positive,h2-positive,count
0,0,1,0,1,0,0,1,0,0,0,0,0,0
1,0,1,1,1,1,0,1,1,3,1,3,1,21
0,0,1,1,1,0,0,1,1,1,0,1,0,4
0,1,1,0,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,1,0,0,1,1,0,1,0,7
1,1,1,0,1,1,1,1,0,3,1,3,1,2
1,1,0,0,1,1,1,0,0,1,0,1,0,1
1,0,1,0,1,1,0,1,0,1,0,1,0,0
0,0,0,1,1,0,0,0,1,0,0,0,0,1
0,1,0,0,1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,6,4,6,4,58
0,1,0,1,1,0,1,0,1,1,0,1,0,1
0,1,1,1,1,0,1,1,1,3,1,3,1,2
1,1,0,1,1,1,1,0,1,3,1,3,1,1
1,0,0,0,1,1,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,12
1,0,1,1,0,0,0,0,0,3,1,0,0,36
0,0,1,1,0,0,0,0,0,1,0,0,0,17
0,1,1,0,0,0,0,0,0,1,0,0,0,2
1,0,0,1,0,0,0,0,0,1,0,0,0,10
1,1,1,0,0,0,0,0,0,3,1,0,0,2
1,1,0,0,0,0,0,0,0,1,0,0,0,3
1,0,1,0,0,0,0,0,0,1,0,0,0,8
0,0,0,1,0,0,0,0,0,0,0,0,0,31
0,1,0,0,0,0,0,0,0,0,0,0,0,82
1,1,1,1,0,0,0,0,0,6,4,0,0,40
0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,0,0,0,0,3,1,0,0,1
1,1,0,1,0,0,0,0,0,3,1,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,25
